ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
1,18.481425,77.397506,9.6,-44.3,7.22,5.66,Negativno,Ne
2,18.475628,77.39451,6.4,-83.0,7.55,1.68,Negativno,Ne
3,18.483655,77.384426,10.8,-42.4,6.39,1.59,Negativno,Ne
4,18.471533,77.385797,7.4,-68.4,6.42,2.6,Negativno,Ne
5,18.455054,77.389069,8.0,-66.6,6.32,2.34,Negativno,Ne
6,18.489943,77.385019,14.0,-38.4,6.9,3.63,Negativno,Ne
7,18.485683,77.3817,7.5,-66.3,6.63,5.03,Pozitivno,Ne
8,18.473468,77.384939,1.2,-43.8,6.5,5.47,Negativno,Ne
9,18.456118,77.387374,3.1,-59.5,7.43,1.6,Negativno,Ne
10,18.48394,77.360506,1.0,-31.0,7.06,4.56,Negativno,Ne
11,18.499315,77.383809,7.6,-49.5,6.88,0.66,Negativno,Ne
12,18.483279,77.382423,9.8,-48.7,7.59,0.14,Negativno,Ne
13,18.470366,77.388536,5.8,-86.2,7.05,4.66,Negativno,Ne
14,18.495239,77.384084,3.3,-32.7,7.44,3.95,Negativno,Da
15,18.490864,77.395779,8.7,-16.0,5.64,4.7,Pozitivno,Ne
16,18.49091,77.379465,7.7,-49.5,7.23,5.48,Negativno,Ne
17,18.475549,77.387374,12.6,-45.9,7.32,1.35,Negativno,Ne
18,18.489274,77.390686,1.3,-71.1,6.83,0.83,Negativno,Ne
19,18.495534,77.386136,9.8,-72.2,7.58,5.84,Negativno,Ne
20,18.458393,77.400967,13.0,-52.7,7.79,2.75,Negativno,Da
21,18.485154,77.381463,7.6,-66.8,6.42,3.84,Negativno,Ne
22,18.483887,77.389354,7.1,-40.9,7.55,1.6,Negativno,Ne
23,18.480941,77.393138,14.9,-45.7,6.91,2.41,Negativno,Ne
24,18.466573,77.391841,1.1,-49.7,7.04,0.81,Negativno,Ne
25,18.475527,77.400754,3.2,-33.9,7.75,4.08,Negativno,Ne
